"id","name","latitude","longitude","price_level","rating","review_count","distance","neigh_id","neighbourhood","type","cuisine","size_level"
"7yKiBNv5wpr4xEHIisAXOg","Golden Gate restaurant",43.7235107,-79.5598984,NA,3.2,5,14068.9307316308,"004","Rexdale-Kipling","Other","African","Single Location"
"COExayvsDDJOjWTOFZ7a4A","Panafest",43.7420692,-79.5143433,NA,3.4,5,13044.8543553063,"025","Glenfield-Jane Heights","Bar","African","Single Location"
"m_KxjrHzcVgYgtiPlmqFYA","Zezafoun Syrian Cuisine",43.70267,-79.39712,"Medium",4.5,129,6677.05418655828,"174","South Eglinton-Davisville","Other","Middle Eastern","Single Location"
"68HMOQ42vNOnTJ14bv_RxQ","Mandi Afandi",43.708328,-79.3426392,NA,4.4,10,9477.25366523222,"055","Thorncliffe Park","Other","Middle Eastern","Single Location"
"2cJUG8ibxVFXEoYbjD2spg","Poutine Hub",43.6560219563019,-79.3643452227116,NA,5,6,4802.39502291991,"072","Regent Park","Other","East Asian","Small Chain"
"h3qZZBtRVBFlhr-KXFW9vA","Alforat Restaurant",43.73636,-79.30813,NA,4.1,20,13659.6815619131,"043","Victoria Village","Other","Middle Eastern","Single Location"
"By9ej8N7bzn_NqbcVhaLtw","Kababia",43.68178,-79.33198,NA,3.7,19,8300.57417645297,"066","Danforth","Other","Mediterranean","Single Location"
"aCNiO3KPX-nB2vdSRFjxdQ","Palmyra Mediterranean House",43.6500811574448,-79.6041967664423,"Medium",4.2,95,14650.3755262974,"011","Eringate-Centennial-West Deane","Other","Middle Eastern","Single Location"
"5HeJ9wyEYq9ua5WGxXVjJA","Vos Restaurante Argentino",43.6542227481167,-79.423148644379,NA,4.1,44,976.059655753521,"081","Trinity-Bellwoods","Other","Latin American","Single Location"
"xPP39VfL_uYgKtWkzp_3Sw","Bacan",43.6501,-79.4502,NA,3.8,24,2311.37321759227,"086","Roncesvalles","Cafe/Bakery","Latin American","Single Location"
"UM8ihaRBBW-aJg3pX7CyQw","Gaucho Pie",43.6710432483332,-79.4347860664129,NA,4.3,10,3017.76523935278,"171","Junction-Wallace Emerson","Other","Latin American","Single Location"
"_bTENhxpXDmJozpIU75Hqg","Super Empanada",43.64507,-79.41588,NA,5,3,520.360069738468,"081","Trinity-Bellwoods","Other","Latin American","Single Location"
"M6eb5ISVJdiI8W7oHBHeEw","Midnight Market",43.656738999529,-79.4073457,NA,4.6,14,1733.02234719357,"079","University","Lounges","East Asian","Single Location"
"c78Pat78fVUBFPXYeVvbaQ","Oddseoul",43.646192,-79.419762,"Medium",3.8,349,211.050491637271,"081","Trinity-Bellwoods","Bar","East Asian","Single Location"
"B5JCODx4728Ce2Qca1NFHw","Hanmoto",43.6496209524867,-79.4230549132067,"Medium",4.2,251,466.331161424066,"081","Trinity-Bellwoods","Other","East Asian","Single Location"
"9BKIXfn0JMcVKILLs1mghg","Holy Cow Japanese Steakhouse",43.64993,-79.39145,"High",4.2,194,2528.4745766454,"078","Kensington-Chinatown","Steakhouses","East Asian","Single Location"
"zHNk2BnANwkvHvaXD7yYsg","Té",43.64576,-79.4196739300594,"Medium",3.9,127,207.855762277176,"081","Trinity-Bellwoods","Other","East Asian","Single Location"
